time,pos_x,pos_z,rot_y
1789.057,-4.5,-4.5,45
1789.07,-4.4824,-4.4824,45
1789.079,-4.4698,-4.4698,45
1789.089,-4.4554,-4.4554,45
1789.1,-4.4401,-4.4401,45
1789.108,-4.4283,-4.4283,45
1789.117,-4.4164,-4.4164,45
1789.125,-4.4046,-4.4046,45
1789.133,-4.3928,-4.3928,45
1789.142,-4.3806,-4.3806,45
1789.15,-4.3686,-4.3686,45
1789.159,-4.3568,-4.3568,45
1789.167,-4.345,-4.345,45
1789.175,-4.3332,-4.3332,45
1789.184,-4.3214,-4.3214,45
1789.193,-4.3087,-4.3087,45
1789.201,-4.2969,-4.2969,45
1789.21,-4.2841,-4.2841,45
1789.218,-4.2724,-4.2724,45
1789.227,-4.2606,-4.2606,45
1789.235,-4.2484,-4.2484,45
1789.244,-4.2366,-4.2366,45
1789.253,-4.2232,-4.2232,45
1789.261,-4.2114,-4.2114,45
1789.27,-4.1995,-4.1995,45
1789.278,-4.1877,-4.1877,45
1789.287,-4.1759,-4.1759,45
1789.295,-4.1641,-4.1641,45
1789.304,-4.151,-4.151,45
1789.315,-4.1361,-4.1361,45
1789.323,-4.1239,-4.1239,45
1789.333,-4.1106,-4.1106,45
1789.341,-4.0988,-4.0988,45
1789.349,-4.087,-4.087,45
1789.358,-4.0752,-4.0752,45
1789.366,-4.0634,-4.0634,45
1789.375,-4.0516,-4.0516,45
1789.383,-4.0399,-4.0399,45
1789.391,-4.0276,-4.0276,45
1789.407,-4.0053,-4.0053,45
1789.416,-3.9936,-3.9936,45
1789.425,-3.9804,-3.9804,45
1789.433,-3.9683,-3.9683,45
1789.442,-3.9565,-3.9565,45
1789.451,-3.9438,-3.9438,45
1789.459,-3.932,-3.932,45
1789.468,-3.92,-3.92,45
1789.476,-3.9082,-3.9082,45
1789.484,-3.896,-3.896,45
1789.493,-3.8842,-3.8842,45
1789.501,-3.872,-3.872,45
1789.51,-3.8603,-3.8603,45
1789.519,-3.8475,-3.8474,44.9791
1789.529,-3.8335,-3.8335,44.9314
1789.537,-3.8217,-3.8216,44.8735
1789.545,-3.81,-3.8098,44.7979
1789.554,-3.7979,-3.7976,44.7005
1789.562,-3.7862,-3.7857,44.5888
1789.571,-3.7745,-3.7738,44.4594
1789.579,-3.7628,-3.7619,44.3122
1789.587,-3.7512,-3.7499,44.1474
1789.597,-3.7384,-3.7366,43.9431
1789.605,-3.7269,-3.7246,43.741
1789.613,-3.7154,-3.7125,43.5211
1789.622,-3.704,-3.7003,43.2835
1789.631,-3.6916,-3.687,43.0031
1789.639,-3.6803,-3.6748,42.7285
1789.647,-3.669,-3.6625,42.4361
1789.656,-3.6578,-3.6501,42.1261
1789.664,-3.6467,-3.6377,41.7984
1789.672,-3.6357,-3.6252,41.4529
1789.681,-3.6247,-3.6127,41.0897
1789.689,-3.6139,-3.6,40.7089
1789.698,-3.6029,-3.587,40.3015
1789.706,-3.5922,-3.5742,39.8848
1789.714,-3.5816,-3.5614,39.4504
1789.723,-3.5705,-3.5477,38.9705
1789.731,-3.5601,-3.5346,38.4998
1789.74,-3.5499,-3.5215,38.0113
1789.748,-3.5397,-3.5083,37.505
1789.756,-3.5295,-3.4948,36.9736
1789.765,-3.5196,-3.4814,36.4317
1789.773,-3.5099,-3.4678,35.8721
1789.781,-3.5002,-3.4542,35.2947
1789.79,-3.4908,-3.4405,34.6997
1789.798,-3.4814,-3.4267,34.0869
1789.807,-3.4719,-3.4123,33.4313
1789.815,-3.4629,-3.3983,32.7826
1789.823,-3.454,-3.3842,32.1161
1789.832,-3.4453,-3.3699,31.4318
1789.84,-3.4368,-3.3556,30.7298
1789.849,-3.4281,-3.3406,29.9932
1789.857,-3.42,-3.3261,29.2848
1789.865,-3.412,-3.3114,28.5764
1789.874,-3.4042,-3.2967,27.8681
1789.882,-3.3966,-3.2819,27.1597
1789.891,-3.3892,-3.2669,26.4514
1789.899,-3.3819,-3.2519,25.743
1789.907,-3.3749,-3.2368,25.0347
1789.916,-3.3679,-3.2215,24.3181
1789.924,-3.3611,-3.2058,23.5906
1789.932,-3.3546,-3.1904,22.8823
1789.941,-3.3479,-3.1739,22.1248
1789.95,-3.3418,-3.1584,21.4166
1789.958,-3.3359,-3.1428,20.7082
1789.966,-3.3302,-3.1271,19.9998
1789.975,-3.3247,-3.1114,19.2915
1789.983,-3.3194,-3.0956,18.5832
1789.991,-3.3142,-3.0795,17.8642
1790,-3.3091,-3.0628,17.1199
1790.009,-3.3043,-3.0468,16.4119
1790.018,-3.2993,-3.0286,15.6098
1790.026,-3.295,-3.0125,14.9005
1790.035,-3.2909,-2.9963,14.1921
1790.043,-3.2869,-2.9799,13.4723
1790.053,-3.2827,-2.9611,12.6558
1790.061,-3.2793,-2.9448,11.9473
1790.069,-3.276,-2.9285,11.239
1790.078,-3.2728,-2.9111,10.4893
1790.087,-3.27,-2.8947,9.7808
1790.095,-3.2673,-2.8776,9.0464
1790.104,-3.2649,-2.8611,8.338
1790.115,-3.262,-2.8388,7.3823
1790.123,-3.26,-2.8223,6.6739
1790.131,-3.2583,-2.8057,5.9655
1790.141,-3.2565,-2.7857,5.1396
1790.152,-3.2549,-2.7639,4.2687
1790.162,-3.2537,-2.7455,3.5555
1790.17,-3.2529,-2.7289,2.929
1790.18,-3.2521,-2.7086,2.1915
1790.189,-3.2516,-2.6901,1.5441
1790.198,-3.2513,-2.6729,0.9572
1790.206,-3.2512,-2.6562,0.4078
1790.215,-3.2512,-2.6396,359.8763
1790.224,-3.2515,-2.6206,359.2954
1790.233,-3.2518,-2.6039,358.8
1790.241,-3.2523,-2.5873,358.324
1790.25,-3.253,-2.5694,357.8346
1790.258,-3.2537,-2.5526,357.39
1790.268,-3.2548,-2.5333,356.9056
1790.276,-3.2558,-2.5167,356.5046
1790.285,-3.2569,-2.5,356.1215
1790.293,-3.2582,-2.483,355.7476
1790.302,-3.2597,-2.4642,355.3573
1790.314,-3.2618,-2.441,354.9086
1790.324,-3.2637,-2.4209,354.5479
1790.333,-3.2655,-2.4034,354.2513
1790.341,-3.2672,-2.3868,353.9889
1790.35,-3.2691,-2.3699,353.7403
1790.358,-3.271,-2.3534,353.5137
1790.366,-3.2729,-2.3368,353.3047
1790.375,-3.2749,-2.3203,353.1135
1790.383,-3.2769,-2.3037,352.94
1790.392,-3.2791,-2.2865,352.7786
1790.4,-3.2813,-2.27,352.6413
1790.409,-3.2834,-2.2535,352.5216
1790.417,-3.2856,-2.2369,352.4196
1790.425,-3.2879,-2.2204,352.3354
1790.433,-3.2901,-2.2039,352.2689
1790.442,-3.2923,-2.1874,352.22
1790.451,-3.295,-2.1683,352.1873
1790.46,-3.2972,-2.1518,352.1766
1790.468,-3.2995,-2.1353,352.1766
1790.476,-3.3018,-2.1188,352.1766
1790.485,-3.304,-2.1023,352.1766
1790.493,-3.3063,-2.0857,352.1766
1790.501,-3.3086,-2.0692,352.1766
1790.51,-3.3109,-2.0527,352.1766
1790.518,-3.3131,-2.0362,352.1766
1790.526,-3.3154,-2.0196,352.1766
1790.535,-3.3177,-2.0029,352.1766
1790.543,-3.32,-1.9863,352.1766
1790.552,-3.3224,-1.969,352.1766
1790.561,-3.3248,-1.951,352.1766
1790.569,-3.3271,-1.9344,352.1766
1790.578,-3.3294,-1.9179,352.1766
1790.586,-3.3316,-1.9014,352.1766
1790.595,-3.334,-1.884,352.1766
1790.603,-3.3363,-1.8675,352.1766
1790.612,-3.3386,-1.8509,352.1766
1790.621,-3.341,-1.8333,352.1766
1790.629,-3.3433,-1.8168,352.1766
1790.637,-3.3455,-1.8002,352.1766
1790.646,-3.3478,-1.7837,352.1766
1790.654,-3.3502,-1.7662,352.1766
1790.663,-3.3525,-1.7497,352.1766
1790.671,-3.3548,-1.7331,352.1766
1790.679,-3.357,-1.7166,352.1766
1790.688,-3.3593,-1.7001,352.1766
1790.696,-3.3616,-1.6836,352.1766
1790.704,-3.3638,-1.6671,352.1766
1790.713,-3.3661,-1.6504,352.1766
1790.721,-3.3684,-1.6338,352.1766
1790.73,-3.3707,-1.6173,352.1766
1790.746,-3.3751,-1.5854,352.1766
1790.754,-3.3773,-1.5689,352.1766
1790.762,-3.3796,-1.5524,352.1766
1790.771,-3.3819,-1.5359,352.1766
1790.779,-3.3841,-1.5194,352.1766
1790.787,-3.3864,-1.5029,352.1766
1790.796,-3.3888,-1.4856,352.1766
1790.805,-3.3913,-1.4671,352.1766
1790.814,-3.3936,-1.4506,352.1766
1790.822,-3.3958,-1.4341,352.1766
1790.83,-3.3981,-1.4176,352.1766
1790.839,-3.4004,-1.4011,352.1766
1790.847,-3.4027,-1.3845,352.1766
1790.855,-3.4049,-1.368,352.1766
1790.864,-3.4073,-1.3511,352.1766
1790.872,-3.4095,-1.3345,352.1766
1790.881,-3.4118,-1.318,352.1766
1790.889,-3.4141,-1.3015,352.1766
1790.897,-3.4163,-1.285,352.1766
1790.906,-3.4186,-1.2685,352.1766
1790.914,-3.4209,-1.252,352.1766
1790.922,-3.4231,-1.2355,352.1766
1790.931,-3.4254,-1.219,352.1766
1790.939,-3.4277,-1.2025,352.1766
1790.947,-3.4299,-1.1859,352.1766
1790.956,-3.4322,-1.1694,352.1766
1790.964,-3.4345,-1.1529,352.1766
1790.972,-3.4368,-1.1364,352.1766
1790.981,-3.439,-1.1199,352.1766
1790.989,-3.4413,-1.1034,352.1766
1790.997,-3.4436,-1.0869,352.1766
1791.006,-3.4458,-1.0704,352.1766
1791.014,-3.4481,-1.0538,352.1766
1791.022,-3.4504,-1.0373,352.1766
1791.031,-3.4526,-1.0208,352.1766
1791.039,-3.4549,-1.0043,352.1766
1791.047,-3.4572,-0.9878,352.1766
1791.056,-3.4594,-0.9713,352.1766
1791.064,-3.4617,-0.9548,352.1766
1791.072,-3.464,-0.9383,352.1766
1791.081,-3.4662,-0.9217,352.1766
1791.089,-3.4685,-0.9052,352.1766
1791.097,-3.4708,-0.8887,352.1766
1791.106,-3.4731,-0.8722,352.1766
1791.114,-3.4754,-0.8553,352.1766
1791.123,-3.4777,-0.8381,352.1766
1791.131,-3.48,-0.8216,352.1766
1791.14,-3.4823,-0.8051,352.1766
1791.148,-3.4845,-0.7886,352.1766
1791.156,-3.4869,-0.7716,352.1766
1791.165,-3.4893,-0.7541,352.1766
1791.174,-3.4916,-0.7375,352.1766
1791.182,-3.4938,-0.721,352.1766
1791.19,-3.4961,-0.7045,352.1766
1791.199,-3.4984,-0.688,352.1766
1791.207,-3.5006,-0.6715,352.1766
1791.215,-3.5029,-0.655,352.1766
1791.224,-3.5052,-0.6385,352.1766
1791.232,-3.5075,-0.6218,352.1766
1791.24,-3.5097,-0.6053,352.1766
1791.25,-3.5124,-0.5856,352.2017
1791.26,-3.5151,-0.5659,352.252
1791.269,-3.5173,-0.5494,352.3119
1791.277,-3.5195,-0.5329,352.3896
1791.285,-3.5217,-0.5164,352.4849
1791.294,-3.5239,-0.4999,352.5979
1791.302,-3.5261,-0.4826,352.7354
1791.312,-3.5284,-0.4636,352.9093
1791.321,-3.5307,-0.4444,353.1092
1791.33,-3.5327,-0.4278,353.3005
1791.338,-3.5346,-0.4112,353.5084
1791.346,-3.5364,-0.3947,353.7339
1791.355,-3.5382,-0.378,353.9782
1791.363,-3.5398,-0.3614,354.2393
1791.372,-3.5414,-0.3449,354.5181
1791.38,-3.5429,-0.3283,354.8146
1791.39,-3.5445,-0.309,355.1821
1791.398,-3.5459,-0.2914,355.5388
1791.407,-3.5471,-0.2747,355.8924
1791.415,-3.5482,-0.2581,356.2636
1791.423,-3.5492,-0.2415,356.6526
1791.432,-3.55,-0.2248,357.0593
1791.441,-3.5508,-0.2072,357.5085
1791.45,-3.5514,-0.1888,358
1791.458,-3.5519,-0.1722,358.4626
1791.466,-3.5522,-0.1555,358.9431
1791.475,-3.5524,-0.1388,359.4411
1791.483,-3.5524,-0.1222,359.9569
1791.491,-3.5522,-0.1055,0.4907
1791.5,-3.5519,-0.0888,1.042
1791.508,-3.5515,-0.0722,1.6109
1791.518,-3.5507,-0.053,2.2893
1791.526,-3.5498,-0.0363,2.8964
1791.534,-3.5488,-0.0197,3.5211
1791.543,-3.5476,-0.0031,4.1636
1791.551,-3.5462,0.0135,4.8237
1791.559,-3.5446,0.0301,5.5024
1791.568,-3.5428,0.0467,6.198
1791.576,-3.5408,0.0632,6.9063
1791.584,-3.5386,0.0798,7.6147
1791.593,-3.5361,0.0969,8.3505
1791.601,-3.5335,0.1134,9.0591
1791.61,-3.5308,0.1287,9.7674
1791.618,-3.5282,0.1427,10.4765
1791.626,-3.5257,0.1555,11.1848
1791.635,-3.5233,0.167,11.8931
1791.643,-3.521,0.1773,12.6015
1791.651,-3.5188,0.1863,13.3098
1791.66,-3.5168,0.1944,14.0443
1791.668,-3.5151,0.2009,14.7526
1791.677,-3.5137,0.2062,15.4609
1791.685,-3.5125,0.2102,16.1694
1791.694,-3.5116,0.2132,16.9089
1791.702,-3.5111,0.2148,17.6177
1791.711,-3.5111,0.2148,18.3606
1791.719,-3.5111,0.2148,19.069
1791.727,-3.5111,0.2148,19.7774
1791.736,-3.5111,0.2148,20.4856
1791.745,-3.5111,0.2148,21.2382
1791.753,-3.5111,0.2148,21.9465
1791.761,-3.5111,0.2148,22.6557
1791.77,-3.5111,0.2148,23.3639
1791.778,-3.5111,0.2148,24.0731
1791.786,-3.5111,0.2148,24.7814
1791.795,-3.5111,0.2148,25.5353
1791.803,-3.5111,0.2148,26.2437
1791.812,-3.5111,0.2148,26.952
1791.82,-3.5111,0.2148,27.6604
1791.829,-3.5111,0.2148,28.3899
1791.837,-3.5111,0.2148,29.0983
1791.845,-3.5111,0.2148,29.8066
1791.854,-3.5111,0.2148,30.518
1791.862,-3.5111,0.2148,31.2264
1791.87,-3.5111,0.2148,31.9348
1791.879,-3.5111,0.2148,32.6858
1791.889,-3.5111,0.2148,33.5051
1791.897,-3.5111,0.2148,34.2144
1791.906,-3.5111,0.2148,34.9228
1791.914,-3.5111,0.2148,35.6564
1791.924,-3.5111,0.2148,36.4591
1791.932,-3.5111,0.2148,37.1675
1791.94,-3.5111,0.2148,37.8758
1791.949,-3.5111,0.2148,38.5842
1791.958,-3.5111,0.2148,39.3341
1791.966,-3.5111,0.2148,40.0432
1791.974,-3.5111,0.2148,40.7516
1791.984,-3.5111,0.2148,41.5909
1791.993,-3.5111,0.2148,42.3119
1792.001,-3.5111,0.2148,43.0203
1792.009,-3.5111,0.2148,43.7287
1792.018,-3.5111,0.2148,44.4515
1792.027,-3.5111,0.2148,45.2339
1792.035,-3.5111,0.2148,45.9419
1792.044,-3.5111,0.2148,46.6757
1792.054,-3.5111,0.2148,47.5298
1792.071,-3.5111,0.2148,48.9858
1792.079,-3.5111,0.2148,49.6991
1792.089,-3.5111,0.2148,50.4881
1792.097,-3.5111,0.2148,51.1965
